transaction_id,timestamp_utc,origin_account,destination_account,amount_kes,transaction_type,channel,status,response_code,client_device_metadata
TXN_20260523_100000,2026-05-23T22:20:31.626Z,850556,960918,247992.05,B2B,MM_PORTAL,FAILED,01,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.2"", ""ip"": ""223.65.119.96""}"
TXN_20260523_100001,2026-05-23T07:07:12.664Z,759801,254744972904,47504.62,B2C,API_DISBURSE,SUCCESS,00,"{""os"": ""Android"", ""app_ver"": ""4.2.2"", ""ip"": ""71.142.15.180""}"
TXN_20260523_100002,2026-05-23T01:30:16.345Z,254733849781,288913,48926.45,C2B,DYNAMIC_QR,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100003,2026-05-23T18:13:52.802Z,868043,987600,284405.72,B2B,MM_PORTAL,FAILED,01,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100004,2026-05-23T13:23:56.864Z,935290,815346,218233.09,B2B,MM_PORTAL,SUCCESS,00,"{""os"": ""iOS"", ""app_ver"": ""5.1.0"", ""ip"": ""122.252.118.148""}"
TXN_20260523_100005,2026-05-23T17:35:28.247Z,971058,546825,211210.77,B2B,API_SETTLE,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.2"", ""ip"": ""218.241.105.164""}"
TXN_20260523_100006,2026-05-23T15:31:18.157Z,821929,254767490158,94521.91,B2C,API_DISBURSE,REVERSED,09,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""140.11.214.116""}"
TXN_20260523_100007,2026-05-23T13:10:02.968Z,896473,254771332609,28731.96,B2C,API_DISBURSE,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.2"", ""ip"": ""156.166.205.47""}"
TXN_20260523_100008,2026-05-23T00:20:15.603Z,254724021969,254748032080,25838.79,P2P,APP_INT,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""40.183.167.98""}"
TXN_20260523_100009,2026-05-23T21:31:04.587Z,182380,254799088894,20466.12,B2C,B2C_PORTAL,TIMEOUT,99,"{""os"": ""Linux_Ubuntu"", ""app_ver"": ""SDK_v2.1"", ""ip"": ""241.93.180.24""}"
TXN_20260523_100010,2026-05-23T13:10:05.369Z,880410,694350,19082.04,B2B,API_SETTLE,REVERSED,09,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100011,2026-05-23T14:08:48.147Z,254756897810,254797424911,31409.42,P2P,APP_INT,FAILED,01,"{""os"": ""Android"", ""app_ver"": ""4.2.1"", ""ip"": ""74.214.84.192""}"
TXN_20260523_100012,2026-05-23T05:33:40.104Z,867810,254723658646,98782.57,B2C,B2C_PORTAL,SUCCESS,00,"{""os"": ""Android"", ""app_ver"": ""4.2.1"", ""ip"": ""82.53.88.3""}"
TXN_20260523_100013,2026-05-23T03:49:42.586Z,285395,254792984619,25053.35,B2C,B2C_PORTAL,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100014,2026-05-23T05:14:05.798Z,128467,536445,156930.48,B2B,MM_PORTAL,SUCCESS,00,"{""os"": ""Linux_Ubuntu"", ""app_ver"": ""SDK_v2.1"", ""ip"": ""107.215.187.228""}"
TXN_20260523_100015,2026-05-23T19:12:27.972Z,254735973790,254754737414,2391.24,P2P,USSD,REVERSED,09,"{""os"": ""Android"", ""app_ver"": ""5.0.0"", ""ip"": ""213.173.201.61""}"
TXN_20260523_100016,2026-05-23T13:03:36.650Z,254796326624,661872,55146.54,C2B,PAYBILL_PORTAL,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""214.192.200.255""}"
TXN_20260523_100017,2026-05-23T07:16:23.417Z,254786088302,254741080318,42775.91,P2P,APP_INT,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.2"", ""ip"": ""84.209.160.89""}"
TXN_20260523_100018,2026-05-23T13:06:50.709Z,254737447133,254762894935,16440.37,P2P,APP_INT,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100019,2026-05-23T15:11:30.331Z,254750266213,254748163907,48155.47,P2P,APP_INT,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100020,2026-05-23T20:13:02.841Z,254787257473,254736078334,10838.41,P2P,APP_INT,REVERSED,09,"{""os"": ""Linux_Ubuntu"", ""app_ver"": ""SDK_v2.0"", ""ip"": ""6.13.128.9""}"
TXN_20260523_100021,2026-05-23T01:45:44.280Z,254797215191,658501,7004.78,C2B,PAYBILL_PORTAL,FAILED,01,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.2"", ""ip"": ""254.100.23.216""}"
TXN_20260523_100022,2026-05-23T09:17:11.156Z,254759188150,449287,13279.91,C2B,STK_PUSH,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""110.233.101.66""}"
TXN_20260523_100023,2026-05-23T07:59:32.429Z,464256,536823,264474.48,B2B,API_SETTLE,TIMEOUT,99,"{""os"": ""iOS"", ""app_ver"": ""5.1.0"", ""ip"": ""192.203.36.203""}"
TXN_20260523_100024,2026-05-23T12:14:31.361Z,254743556398,403582,4104.14,C2B,STK_PUSH,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100025,2026-05-23T23:01:14.856Z,254747737884,254718422870,6378.6,P2P,APP_INT,FAILED,01,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100026,2026-05-23T10:16:37.155Z,254734396910,254776412472,12390.9,P2P,USSD,SUCCESS,00,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""128.134.123.110""}"
TXN_20260523_100027,2026-05-23T10:53:06.327Z,162121,254756658184,97419.63,B2C,API_DISBURSE,SUCCESS,00,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
TXN_20260523_100028,2026-05-23T06:23:40.398Z,654379,599108,283409.86,B2B,MM_PORTAL,FAILED,01,"{""os"": ""Android"", ""app_ver"": ""5.0.0"", ""ip"": ""155.52.209.66""}"
TXN_20260523_100029,2026-05-23T12:32:48.702Z,254762141587,254766985552,9789.03,P2P,USSD,FAILED,01,"{""os"": ""Windows_Server"", ""app_ver"": ""ERP_v1.1"", ""ip"": ""95.154.165.117""}"
TXN_20260523_100030,2026-05-23T14:06:42.928Z,254757525930,254723688500,22351.9,P2P,APP_INT,SUCCESS,00,"{""os"": ""Android"", ""app_ver"": ""5.0.0"", ""ip"": ""4.104.135.243""}"
TXN_20260523_100031,2026-05-23T06:05:57.082Z,451739,787823,113233.67,B2B,MM_PORTAL,TIMEOUT,99,"{""os"": ""FeaturePhone"", ""app_ver"": ""SIM_Toolkit"", ""ip"": ""0.0.0.0""}"
