customer_id,account_number,full_name,gender,age,customer_segment,subsidiary_name,country,branch_code,regulator,account_type,account_status,currency,account_balance_local,account_balance_usd,loan_status,loan_amount_local,loan_amount_usd,credit_score_bucket,kyc_status,phone_number,onboarding_date,tenure_months,last_transaction_date,monthly_txn_count,primary_channel,digital_engagement_score,mobile_wallet_linked,agent_banking_used,insurance_policy_held,nps_category
EGH-RW-18032585,RW8595827497,Sylvia Turner,Female,19,Microfinance,Equity Bank Rwanda Limited,Rwanda,RW-BR032,National Bank of Rwanda,Business Account,Active,RWF,16090.08,12.28,No Loan,0.0,0.0,Very Poor (<300),Partial KYC,+250721158348,2018-07-28,77,2024-05-05,22,Mobile App (EazzyBanking),77,Yes,Yes,No,Promoter
EGH-KE-79656043,KE3614392581,Edward Fry,Male,19,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR049,Central Bank of Kenya,Savings Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254738829810,2020-08-12,52,2023-01-10,53,Agent Banking,49,Yes,Yes,No,Detractor
EGH-KE-49499059,KE5456446831,Rosemary Willis,Female,27,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR019,Central Bank of Kenya,Savings Account,Active,KES,10976.75,84.76,Fully Repaid,22491.48,173.68,Good (670-739),Fully Verified,+254758721171,2015-10-09,110,2024-10-04,21,Mobile App (EazzyBanking),79,Yes,Yes,No,Passive
EGH-KE-48971370,KE1811653453,Joanna Lawrence,Female,37,SME,Equity Bank Kenya Limited,Kenya,KE-BR001,Central Bank of Kenya,Fixed Deposit,Active,KES,0.0,0.0,Active Loan,0.0,0.0,Fair (580-669),Fully Verified,+254799465217,2014-03-02,130,2023-08-16,48,USSD (*247#),59,Yes,No,No,Promoter
EGH-UG-87273811,UG5730136321,Matthew Hill,Male,37,Retail – Mass Market,Equity Bank Uganda Limited,Uganda,UG-BR015,Bank of Uganda,Business Account,Active,UGX,55096.95,14.5,Active Loan,19109.94,5.03,Very Good (740-799),Fully Verified,+256768203253,2011-01-28,167,2023-05-07,10,ATM,62,Yes,Yes,No,Promoter
EGH-RW-17735107,RW8749503865,Gareth Murphy,Male,67,SME,Equity Bank Rwanda Limited,Rwanda,RW-BR030,National Bank of Rwanda,Mobile Savings (EazzyBanking),Active,RWF,3314855.46,2530.42,No Loan,0.0,0.0,Fair (580-669),Partial KYC,+250782811602,2022-02-12,34,2024-08-28,28,Mobile App (EazzyBanking),88,Yes,No,Yes,Promoter
EGH-TZ-72763121,TZ2369821280,Alexandra McDonald,Female,20,Retail – Mass Market,Equity Bank Tanzania Limited,Tanzania,TZ-BR014,Bank of Tanzania,Savings Account,Active,TZS,38694.92,14.88,Active Loan,52025.5,20.01,Exceptional (800+),Fully Verified,+255722238247,2022-02-20,34,2023-06-19,33,Mobile App (EazzyBanking),72,No,Yes,No,Promoter
EGH-KE-18475961,KE6486104421,Diane Marsh,Female,28,NGO / Non-profit,Equity Bank Kenya Limited,Kenya,KE-BR026,Central Bank of Kenya,Current Account,Active,KES,2498306.16,19291.94,Active Loan,3725518.0,28768.48,Fair (580-669),Fully Verified,+254764490506,2020-01-02,59,2023-07-20,12,ATM,49,No,No,No,Passive
EGH-CD-57383107,CD3828326718,Kyle Miles,Male,34,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR036,Banque Centrale du Congo,Savings Account,Active,CDF,31978.4,11.42,Active Loan,93367.42,33.35,Very Good (740-799),Pending Review,+243708121346,2012-07-15,149,2023-09-01,46,Agent Banking,45,Yes,Yes,Yes,Promoter
EGH-KE-97806010,KE4180737179,Terence Thompson,Male,45,Retail – Affluent,Equity Bank Kenya Limited,Kenya,KE-BR006,Central Bank of Kenya,Current Account,Closed,KES,0.0,0.0,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254734032310,2012-01-22,155,2023-03-16,0,Mobile App (EazzyBanking),72,Yes,Yes,No,Passive
EGH-KE-76217712,KE1077240764,Frank Simpson,Male,41,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR011,Central Bank of Kenya,Mobile Savings (EazzyBanking),Active,KES,44211.92,341.4,Fully Repaid,185240.31,1430.43,Very Good (740-799),Fully Verified,+254776981728,2015-10-28,110,2024-06-25,43,ATM,50,No,No,Yes,Promoter
EGH-CD-78502572,CD5796926320,Luke Hilton,Male,48,Retail – Affluent,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR030,Banque Centrale du Congo,Savings Account,Active,CDF,134299.42,47.96,Active Loan,3995875.79,1427.1,Good (670-739),Partial KYC,+243780515254,2023-12-15,12,2024-09-09,51,Agent Banking,10,No,Yes,No,Promoter
EGH-KE-74572954,KE9867960751,Frank Coles,Male,49,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR023,Central Bank of Kenya,Current Account,Closed,KES,0.0,0.0,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+254798460037,2018-01-07,83,2023-02-26,0,Agent Banking,14,No,Yes,No,Passive
EGH-KE-80745786,KE2321770068,Sandra Evans,Female,32,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR017,Central Bank of Kenya,Current Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254770738180,2018-03-04,81,2023-06-03,63,Agent Banking,24,Yes,Yes,No,Promoter
EGH-RW-56190391,RW3108288936,Robin Nixon,Male,65,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR024,National Bank of Rwanda,Business Account,Dormant,RWF,2566.87,1.96,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+250797440341,2023-09-02,15,2023-12-07,40,Branch,25,Yes,Yes,No,Promoter
EGH-CD-21530226,CD3036703644,Sophie Murphy,Female,57,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR042,Banque Centrale du Congo,Current Account,Active,CDF,0.0,0.0,No Loan,0.0,0.0,Very Poor (<300),Fully Verified,+243741457662,2023-03-19,21,2024-08-30,16,ATM,31,No,No,No,Promoter
EGH-KE-85577339,KE6059180987,Ashley Nelson,Male,31,SME,Equity Bank Kenya Limited,Kenya,KE-BR043,Central Bank of Kenya,Savings Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Partial KYC,+254722148847,2011-07-27,161,2024-04-29,28,ATM,52,Yes,No,No,Promoter
EGH-CD-50534733,CD2709173244,Jade Green,Female,24,SME,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR022,Banque Centrale du Congo,Business Account,Active,CDF,0.0,0.0,Fully Repaid,7300801.69,2607.43,Very Good (740-799),Partial KYC,+243719036442,2024-06-07,6,2024-02-12,11,Mobile App (EazzyBanking),86,Yes,No,No,Promoter
EGH-UG-55031671,UG9564890388,Rosie Watts,Female,54,Retail – Mass Market,Equity Bank Uganda Limited,Uganda,UG-BR037,Bank of Uganda,Mobile Savings (EazzyBanking),Active,UGX,0.0,0.0,No Loan,0.0,0.0,Very Poor (<300),Partial KYC,+256714918657,2015-09-14,111,2024-06-29,32,USSD (*247#),45,Yes,No,No,Promoter
EGH-KE-43371821,KE7266912773,Tracey Humphreys,Female,73,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR045,Central Bank of Kenya,Current Account,Active,KES,7863.39,60.72,No Loan,0.0,0.0,Exceptional (800+),Fully Verified,+254715877331,2015-08-29,112,2023-06-24,26,Mobile App (EazzyBanking),83,No,Yes,No,Promoter
EGH-UG-26429467,UG6627665491,Emma Palmer,Female,28,Retail – Mass Market,Equity Bank Uganda Limited,Uganda,UG-BR017,Bank of Uganda,Mobile Savings (EazzyBanking),Active,UGX,48916.12,12.87,Active Loan,85117.87,22.4,Fair (580-669),Fully Verified,+256724785741,2015-12-02,109,2024-10-20,36,USSD (*247#),68,Yes,Yes,No,Promoter
EGH-RW-93408848,RW1035750318,Julian Wilson,Male,40,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR012,National Bank of Rwanda,Insurance Policy,Active,RWF,0.0,0.0,Active Loan,0.0,0.0,Good (670-739),Partial KYC,+250744611259,2020-06-18,54,2023-06-01,56,Agent Banking,17,Yes,Yes,No,Promoter
EGH-KE-80341070,KE5235233273,Lee Fisher,Male,33,SME,Equity Bank Kenya Limited,Kenya,KE-BR017,Central Bank of Kenya,Savings Account,Active,KES,2921316.71,22558.43,Non-Performing,6228012.53,48092.76,Poor (300-579),Fully Verified,+254790840472,2020-07-21,53,2023-10-31,51,Mobile App (EazzyBanking),90,Yes,No,No,Passive
EGH-KE-67947860,KE8284916395,Amelia Gibson,Female,32,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR023,Central Bank of Kenya,Savings Account,Active,KES,29001.41,223.95,Active Loan,0.0,0.0,Very Good (740-799),Fully Verified,+254707982825,2014-12-08,120,2024-09-12,30,Agent Banking,40,No,Yes,Yes,Promoter
EGH-ELAK-46217292,ELAK5562945507,Kenneth Phillips,Male,31,Corporate,Equity Life Assurance (Kenya) Limited,Kenya,ELAK-BR006,Insurance Regulatory Authority,Savings Account,Active,KES,153922239.32,1188588.72,Active Loan,10697297.21,82604.61,Exceptional (800+),Fully Verified,+254750387622,2021-10-11,38,2023-09-16,16,Mobile App (EazzyBanking),73,Yes,No,Yes,Detractor
EGH-KE-84048544,KE7644506956,Kevin Martin,Male,60,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR048,Central Bank of Kenya,Current Account,Active,KES,5138.59,39.68,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254765213463,2016-02-21,106,2024-08-31,36,ATM,45,No,No,No,Promoter
EGH-KE-59088620,KE7138519435,Geoffrey Reynolds,Male,32,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR013,Central Bank of Kenya,Business Account,Active,KES,6631.57,51.21,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254793668105,2013-05-20,139,2024-09-27,23,ATM,61,No,Yes,No,Promoter
EGH-KE-49907277,KE9365211853,Beverley Glover,Female,65,Corporate,Equity Bank Kenya Limited,Kenya,KE-BR044,Central Bank of Kenya,Mobile Savings (EazzyBanking),Active,KES,0.0,0.0,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+254740216260,2018-12-31,72,2023-09-03,76,Mobile App (EazzyBanking),74,Yes,No,No,Detractor
EGH-TZ-50541359,TZ4299804120,Leslie Khan,Male,63,NGO / Non-profit,Equity Bank Tanzania Limited,Tanzania,TZ-BR048,Bank of Tanzania,Savings Account,Active,TZS,4096002.66,1575.39,Written Off,2825187.42,1086.61,Very Poor (<300),Pending Review,+255740951114,2011-10-20,158,2023-02-12,56,Branch,14,No,No,No,Passive
EGH-RW-30451484,RW8428301756,Melanie Smith,Female,63,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR003,National Bank of Rwanda,Insurance Policy,Active,RWF,34516.41,26.35,No Loan,0.0,0.0,Good (670-739),Fully Verified,+250762368464,2024-12-16,0,2023-02-06,15,Mobile App (EazzyBanking),76,No,Yes,Yes,Passive
EGH-UG-18292232,UG3343878577,Julie Wilkinson,Female,37,Corporate,Equity Bank Uganda Limited,Uganda,UG-BR011,Bank of Uganda,MVNO (Equitel) Account,Active,UGX,91220090.79,24005.29,Active Loan,169702652.54,44658.59,Good (670-739),Partial KYC,+256703618213,2019-11-01,62,2023-10-02,41,USSD (*247#),44,Yes,No,Yes,Passive
EGH-RW-59912630,RW6017786439,Tina Thompson,Female,62,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR028,National Bank of Rwanda,Current Account,Active,RWF,34011.44,25.96,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+250792507557,2018-05-21,79,2023-02-14,47,Agent Banking,36,Yes,Yes,Yes,Detractor
EGH-CD-15743552,CD6561495830,Shane Johnson,Male,39,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR014,Banque Centrale du Congo,Fixed Deposit,Active,CDF,14553.88,5.2,Active Loan,69673.22,24.88,Good (670-739),Fully Verified,+243770935537,2024-08-21,4,2024-05-28,68,Mobile App (EazzyBanking),87,Yes,No,No,Promoter
EGH-ELAK-87246215,ELAK4984461109,Joe Smith,Male,53,Corporate,Equity Life Assurance (Kenya) Limited,Kenya,ELAK-BR047,Insurance Regulatory Authority,Mobile Savings (EazzyBanking),Active,KES,0.0,0.0,Active Loan,296681821.47,2290979.32,Exceptional (800+),Fully Verified,+254797889143,2014-10-13,122,2024-06-25,26,USSD (*247#),60,Yes,No,Yes,Promoter
EGH-KE-84486804,KE1921289250,Cheryl Wall,Female,65,SME,Equity Bank Kenya Limited,Kenya,KE-BR040,Central Bank of Kenya,Current Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254776849268,2023-07-28,17,2023-06-01,16,Mobile App (EazzyBanking),87,Yes,No,No,Promoter
EGH-CD-34908372,CD4907822377,Marcus Winter,Male,66,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR017,Banque Centrale du Congo,Current Account,Dormant,CDF,0.0,0.0,Written Off,37398.11,13.36,Very Poor (<300),Fully Verified,+243718561659,2020-10-18,50,2023-09-13,57,Mobile App (EazzyBanking),84,Yes,Yes,No,Promoter
EGH-UG-66849795,UG2772869868,Abbie Turner,Female,42,Corporate,Equity Bank Uganda Limited,Uganda,UG-BR040,Bank of Uganda,Fixed Deposit,Active,UGX,0.0,0.0,No Loan,0.0,0.0,Exceptional (800+),Fully Verified,+256703971960,2018-12-01,73,2024-01-03,5,ATM,49,Yes,No,No,Detractor
EGH-RW-24870616,RW5385827302,Gary James,Male,24,SME,Equity Bank Rwanda Limited,Rwanda,RW-BR043,National Bank of Rwanda,Savings Account,Active,RWF,4644504.1,3545.42,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+250706721567,2014-10-17,122,2023-07-17,54,USSD (*247#),59,Yes,No,Yes,Promoter
EGH-TZ-78227895,TZ1185614155,Timothy Griffiths,Male,46,SME,Equity Bank Tanzania Limited,Tanzania,TZ-BR042,Bank of Tanzania,Savings Account,Active,TZS,0.0,0.0,Active Loan,3188906.51,1226.5,Good (670-739),Fully Verified,+255714914094,2012-04-26,152,2023-04-18,39,Agent Banking,34,No,Yes,Yes,Promoter
EGH-CD-73047066,CD5350743538,Marc Higgins,Male,33,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR023,Banque Centrale du Congo,Savings Account,Active,CDF,61780.36,22.06,Active Loan,150167.61,53.63,Poor (300-579),Fully Verified,+243793058640,2010-05-28,175,2023-05-01,78,Branch,39,No,No,No,Detractor
EGH-RW-41907336,RW4395959598,Leslie Nicholson,Male,49,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR011,National Bank of Rwanda,Savings Account,Active,RWF,0.0,0.0,No Loan,0.0,0.0,Very Poor (<300),Fully Verified,+250763799046,2015-12-18,108,2024-02-12,3,Mobile App (EazzyBanking),74,No,No,No,Promoter
EGH-KE-16112800,KE1121578504,Donald Higgins,Male,54,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR007,Central Bank of Kenya,Current Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Partial KYC,+254796159785,2020-06-06,54,2024-11-25,77,Branch,31,Yes,No,No,Promoter
EGH-KE-97362821,KE6604829370,Adam Shepherd,Male,59,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR031,Central Bank of Kenya,Fixed Deposit,Active,KES,0.0,0.0,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254735316755,2024-09-12,3,2023-09-08,75,Mobile App (EazzyBanking),73,Yes,No,No,Promoter
